player,team_code,pts_per_game,ast_per_game,trb_per_game,team_name,games_played,team_ppg,opponent_ppg,pace,offensive_rating,defensive_rating,net_rating,win_percentage,strength_of_schedule,pts_per_game_z,ast_per_game_z,trb_per_game_z,all_around_score
Anton Watson,NYK,0.9,0.2,0.3,New York,82.0,115.8,111.7,96.7,118.5,114.3,4.2,0.622,-1.05,-1.1887415260150258,-1.0254236757098516,-1.3448887571714152,-3.5590539588962926
Malevy Leons,OKC,0.3,0.2,0.5,Oklahoma City,82.0,120.5,107.6,100.0,120.4,107.5,12.9,0.829,-0.52,-1.28039879529277,-1.0254236757098516,-1.2619077441811697,-3.5677302151837917
Bryce McGowens,POR,1.0,0.2,0.2,Portland,82.0,110.9,113.9,98.8,111.7,114.7,-3.0,0.439,1.22,-1.173465314468735,-1.0254236757098516,-1.3863792636665377,-3.585268253845124
Isaiah Stevens,MIA,0.0,0.0,0.7,Miami,82.0,110.6,110.0,96.2,113.5,112.9,0.6,0.451,-0.84,-1.3262274299316423,-1.135425657816674,-1.1789267311909244,-3.6405798189392407
Vasilije Micić,PHO,0.0,0.2,0.4,Phoenix,82.0,113.6,116.6,97.1,116.2,119.3,-3.1,0.439,0.32,-1.3262274299316423,-1.0254236757098516,-1.3033982506762924,-3.655049356317787
Jesse Edwards,MIN,0.0,0.5,0.0,Minnesota,82.0,114.3,109.3,97.3,116.6,111.5,5.1,0.598,-0.17,-1.3262274299316423,-0.8604207025496179,-1.469360276656783,-3.6560084091380434
Cui Yongxi,BRK,0.6,0.0,0.4,Brooklyn,82.0,105.1,112.2,96.4,108.5,115.8,-7.3,0.317,0.35,-1.2345701606538981,-1.135425657816674,-1.3033982506762924,-3.6733940691468643
Tristen Newton,IND,0.6,0.2,0.0,Indiana,82.0,117.4,115.1,99.9,116.5,114.3,2.2,0.61,-0.42,-1.2345701606538981,-1.0254236757098516,-1.469360276656783,-3.7293541130205323
Jalen McDaniels,WAS,0.0,0.3,0.0,Washington,82.0,108.0,120.4,100.9,106.8,119.1,-12.3,0.22,1.57,-1.3262274299316423,-0.9704226846564403,-1.469360276656783,-3.7660103912448655
Jaylen Martin,BRK,1.0,0.0,0.0,Brooklyn,82.0,105.1,112.2,96.4,108.5,115.8,-7.3,0.317,0.35,-1.173465314468735,-1.135425657816674,-1.469360276656783,-3.778251248942192
Zyon Pullin,MEM,0.0,0.0,0.0,Memphis,82.0,121.7,116.9,103.1,117.9,113.2,4.7,0.585,-0.24,-1.3262274299316423,-1.135425657816674,-1.469360276656783,-3.931013364405099
