Player,Team,PTS,AST,TRB
Josh Richardson,MIA,4.0,1.5,1.5
Steven Adams,HOU,3.9,1.1,5.6
Kyle Lowry,PHI,3.9,2.7,1.9
Olivier-Maxence Prosper,DAL,3.9,0.8,2.4
Patty Mills,2TM,3.8,0.9,0.8
Patty Mills,UTA,4.4,1.2,1.2
Patty Mills,LAC,3.1,0.4,0.1
Branden Carlson,OKC,3.8,0.4,1.7
Devin Carter,SAC,3.8,1.1,2.1
Ousmane Dieng,OKC,3.8,0.8,2.2
Markieff Morris,2TM,3.7,1.4,1.5
Markieff Morris,DAL,1.7,0.6,1.1
Markieff Morris,LAL,5.5,2.1,1.9
Emoni Bates,CLE,3.7,0.8,0.7
DeAndre Jordan,DEN,3.7,0.9,5.1
Craig Porter Jr.,CLE,3.7,1.4,1.3
Jackson Rowe,GSW,3.7,0.7,1.8
Blake Wesley,SAS,3.7,2.0,1.1
JT Thor,2TM,3.6,0.3,2.4
JT Thor,CLE,3.1,0.1,0.7
JT Thor,WAS,3.9,0.5,3.8
Baylor Scheierman,BOS,3.6,1.1,2.1
Jae'Sean Tate,HOU,3.6,0.9,2.3
Jaylon Tyson,CLE,3.6,0.9,2.0
Elfrid Payton,2TM,3.5,6.9,3.3
Elfrid Payton,NOP,4.4,8.1,3.7
Elfrid Payton,CHO,1.0,3.3,2.2
Luka Garza,MIN,3.5,0.3,1.4
Cory Joseph,ORL,3.5,1.4,1.5
Doug McDermott,SAC,3.5,0.2,0.5
Dario Å ariÄ,DEN,3.5,1.4,3.1
Jamaree Bouyea,MIL,3.4,2.0,1.0
Bruno Fernando,TOR,3.4,1.1,3.0
Andre Jackson Jr.,MIL,3.4,1.2,2.7
Isaac Jones,SAC,3.4,0.3,1.4
Kevin Knox,GSW,3.3,0.4,1.2
Damion Lee,PHO,3.3,0.4,0.8
Jeenathan Williams,HOU,3.3,0.5,0.7
Elijah Harkless,UTA,3.2,0.8,2.1
Zeke Nnaji,DEN,3.2,0.4,1.6
Cam Reddish,LAL,3.2,0.7,2.0
Delon Wright,2TM,3.1,1.9,1.7
Delon Wright,MIL,2.5,1.8,1.8
Delon Wright,NYK,4.3,2.1,1.4
Kylor Kelley,2TM,3.1,0.5,3.5
Kylor Kelley,DAL,3.0,0.3,2.6
Kylor Kelley,NOP,3.3,1.0,6.0
Gary Harris,ORL,3.0,0.6,1.3
Maxi Kleber,DAL,3.0,1.3,2.8
Taze Moore,POR,3.0,0.5,4.0
Rayan Rupert,POR,3.0,0.5,1.3
P.J. Tucker,NYK,3.0,0.0,2.7
Pete Nance,2TM,2.9,0.8,1.6
Pete Nance,PHI,2.1,0.4,1.4
Pete Nance,MIL,3.8,1.2,1.8
Markelle Fultz,SAC,2.9,1.3,1.0
Taj Gibson,CHO,2.9,0.6,3.2
Tyler Smith,MIL,2.9,0.2,1.1
RayJ Dennis,IND,2.7,1.3,1.1
David Duke Jr.,SAS,2.7,0.7,0.8
Keshad Johnson,MIA,2.7,0.3,1.8
Reece Beekman,2TM,2.6,1.8,1.1
Reece Beekman,GSW,1.0,0.5,0.5
Reece Beekman,BRK,2.7,1.8,1.1
Jae Crowder,SAC,2.6,0.7,2.2
Josh Minott,MIN,2.6,0.4,1.0
Hunter Tyson,DEN,2.6,0.4,1.5
Jaden Springer,2TM,2.5,0.8,1.3
Jaden Springer,BOS,1.7,0.4,0.9
Jaden Springer,UTA,3.8,1.4,2.0
Trey Jemison,2TM,2.5,0.4,2.8
Trey Jemison,NOP,2.4,0.6,2.8
Trey Jemison,LAL,2.6,0.3,2.8
Anthony Gill,WAS,2.5,0.3,1.3
Dillon Jones,OKC,2.5,1.1,2.2
Pat Spencer,GSW,2.5,1.2,1.2
Johnny Davis,WAS,2.4,0.3,1.1
Christian Koloko,LAL,2.4,0.4,2.5
John Konchar,MEM,2.4,0.9,3.3
MarJon Beauchamp,3TM,2.3,0.3,1.3
MarJon Beauchamp,MIL,2.0,0.3,1.2
MarJon Beauchamp,LAC,4.0,0.7,1.0
MarJon Beauchamp,NYK,2.5,0.2,1.5
Bronny James,LAL,2.3,0.8,0.7
Mason Jones,SAC,2.3,1.1,0.9
Miles Norris,BOS,2.3,0.0,3.0
Patrick Baldwin Jr.,2TM,2.2,0.1,1.0
Patrick Baldwin Jr.,WAS,2.1,0.1,1.0
Patrick Baldwin Jr.,LAC,3.0,0.5,1.5
Drew Peterson,BOS,2.2,0.5,1.6
TyTy Washington Jr.,PHO,2.2,1.0,0.8
Jordan McLaughlin,2TM,2.1,1.1,0.7
Jordan McLaughlin,SAC,1.9,0.9,0.8
Jordan McLaughlin,SAS,2.5,1.5,0.5
JD Davison,BOS,2.1,0.8,0.8
Chris Duarte,CHI,2.1,0.5,1.2
Enrique Freeman,IND,2.1,0.4,1.4
Johnny Furphy,IND,2.1,0.4,1.4
Dwight Powell,DAL,2.1,1.0,2.1
Josh Christopher,MIA,2.0,0.6,0.6
Tyler Kolek,NYK,2.0,1.7,0.7
Adama Sanogo,CHI,2.0,0.3,1.5
Kobe Brown,LAC,1.9,0.6,1.6
Ariel Hukporti,NYK,1.9,0.4,2.0
Bobi Klintman,DET,1.9,0.9,0.9
Garrett Temple,TOR,1.9,1.1,1.0
Jericho Sims,2TM,1.8,0.6,3.7
Jericho Sims,NYK,1.6,0.6,3.3
Jericho Sims,MIL,2.4,0.8,4.9
Vlatko ÄanÄar,DEN,1.8,0.7,2.5
Adam Flagler,OKC,1.8,0.3,0.7
Trentyn Flowers,LAC,1.8,0.0,0.7
E.J. Liddell,CHI,1.8,0.3,0.8
Jahmir Young,CHI,1.8,1.0,0.5
Pacome Dadiet,NYK,1.7,0.3,1.0
Alex Ducas,OKC,1.7,0.2,1.2
PJ Hall,DEN,1.7,0.2,1.2
Emanuel Miller,CHI,1.7,0.3,1.3
Tristan Thompson,CLE,1.7,0.6,3.4
Alex Len,2TM,1.6,0.8,2.1
Alex Len,SAC,1.4,0.8,1.8
Alex Len,LAL,2.2,0.8,3.1
Yuki Kawamura,MEM,1.6,0.9,0.5
Jack McVeigh,HOU,1.6,0.1,0.6
Armel TraorÃ©,LAL,1.6,0.1,1.7
Jordan Walsh,BOS,1.6,0.4,1.3
Phillip Wheeler,PHI,1.6,0.4,1.6
Sidy Cissoko,2TM,1.5,0.7,1.0
Sidy Cissoko,SAS,1.3,0.4,0.6
Sidy Cissoko,POR,2.0,1.8,2.2
Jazian Gortman,DAL,1.5,0.4,0.3
Kevin McCullar Jr.,NYK,1.5,0.5,2.0
Leonard Miller,MIN,1.5,0.0,0.8
Quincy Olivari,LAL,1.5,0.5,0.0
Matt Ryan,NYK,1.5,0.2,0.4
Jacob Toppin,2TM,1.4,0.4,0.9
Jacob Toppin,NYK,0.4,0.3,0.7
Jacob Toppin,ATL,17.0,2.0,4.0
Cam Christie,LAC,1.4,0.5,0.9
Chris Livingston,MIL,1.4,0.2,1.7
Trey Alexander,DEN,1.3,0.5,0.5
Spencer Jones,DEN,1.3,0.3,0.9
Skal LabissiÃ¨re,SAC,1.3,0.3,0.8
Jalen Bridges,PHO,1.1,0.0,0.5
Yuri Collins,GSW,1.0,2.0,1.5
Daniss Jenkins,DET,1.0,0.4,0.3
Braxton Key,GSW,1.0,0.0,0.7
Bryce McGowens,POR,1.0,0.2,0.2
Xavier Tillman Sr.,BOS,1.0,0.2,1.3
Luke Travers,CLE,1.0,0.7,1.7
Isaiah Crawford,SAC,0.9,0.1,0.5
Justin Minaya,POR,0.9,0.4,0.5
Anton Watson,NYK,0.9,0.2,0.3
D.J. Carton,TOR,0.8,0.8,1.0
PJ Dozier,MIN,0.8,0.6,0.6
Joe Ingles,MIN,0.8,1.2,0.6
Harrison Ingram,SAS,0.8,0.6,1.8
Ulrich Chomche,TOR,0.7,0.3,1.1
James Johnson,IND,0.7,0.3,0.5
Liam Robbins,MIL,0.7,0.2,0.9
Stanley Umude,MIL,0.7,0.2,0.8
Cui Yongxi,BRK,0.6,0.0,0.4
Tristen Newton,2TM,0.4,0.3,0.5
Tristen Newton,IND,0.6,0.2,0.0
Tristen Newton,MIN,0.0,0.3,1.3
Malevy Leons,OKC,0.3,0.2,0.5
Daishen Nix,MIN,0.3,1.0,1.3
Terence Davis,SAC,0.0,1.0,1.0
Jesse Edwards,MIN,0.0,0.5,0.0
Mac McClung,ORL,0.0,1.5,0.5
Jalen McDaniels,WAS,0.0,0.3,0.0
Riley Minix,SAS,0.0,0.0,2.0
Jahlil Okafor,IND,0.0,1.0,1.0
Zyon Pullin,MEM,0.0,0.0,0.0
Isaiah Stevens,MIA,0.0,0.0,0.7
Terry Taylor,SAC,0.0,0.7,0.3
League Average,,,,
